state,variable,correlation,p_value,significant,n
wisconsin,median_household_income,-0.11126428316210164,0.3521231995127109,False,72
wisconsin,median_home_value,-0.0589628380300423,0.6227275383652442,False,72
wisconsin,pct_white_alone,0.2660164753920271,0.02390936816436746,True,72
wisconsin,pct_black_alone,0.5724060838865792,1.494114284234e-07,True,72
wisconsin,pct_asian_alone,0.2182635729812123,0.06549125012000964,False,72
wisconsin,pct_aian_alone,-0.060254949152376246,0.6151124307888772,False,72
wisconsin,pct_nhpi_alone,-0.3350130982600681,0.004020442143947068,True,72
wisconsin,pct_someother_alone,-0.26500983161501224,0.02446699362948408,True,72
wisconsin,pct_twoormore,0.6114935396871357,1.1582488637924232e-08,True,72
wisconsin,pct_hispanic,-0.06519083890213179,0.5863996778827388,False,72
wisconsin,hs_grad_or_higher,0.0962917532745584,0.4210303118667869,False,72
wisconsin,bachelors_or_higher,-0.09732004924519379,0.41606409938763106,False,72
wisconsin,unemployment_rate,0.0008590779344750369,0.994285647668638,False,72
wisconsin,pct_below_poverty_level,0.2081966949383303,0.07926345928402496,False,72
