GEOID,County_x,Median_Age,Median_Household_Income,Median_Home_Value,Pct_White_Alone,Pct_Black_Alone,Pct_Asian_Alone,Pct_AIAN_Alone,Pct_NHPI_Alone,Pct_SomeOther_Alone,Pct_TwoOrMore,Pct_Hispanic,HS_Grad_or_Higher,Bachelors_or_Higher,Unemployment_Rate,Pct_Below_Poverty_Level,County_clean,County_y,Highway_Count
55025,"Dane County, Wisconsin",35.6,88108,366100,4.6,0.7,2.1,0.2,92.4,76.7,5.1,1.1,54.4,96.3,2.4,10.5,DANE COUNTY,,0.0
55027,"Dodge County, Wisconsin",42.9,73992,218400,4.9,0.6,0.8,0.1,93.6,87.9,2.6,1.3,19.9,92.5,3.9,7.9,DODGE COUNTY,,0.0
55029,"Door County, Wisconsin",54.1,71785,305800,2.4,0.1,1.4,0.0,96.1,92.2,0.4,1.4,37.1,96.6,3.4,8.7,DOOR COUNTY,,0.0
55031,"Douglas County, Wisconsin",42.8,72579,190400,1.1,0.2,0.5,0.1,98.1,90.2,1.3,3.8,27.8,94.6,3.5,10.4,DOUGLAS COUNTY,,0.0
55033,"Dunn County, Wisconsin",35.8,71785,226200,1.4,0.1,0.8,0.1,97.6,90.9,0.9,1.0,29.2,94.4,4.2,10.7,DUNN COUNTY,,0.0
55035,"Eau Claire County, Wisconsin",35.8,71834,242400,1.8,0.3,0.9,0.1,97.0,87.8,1.1,1.2,35.7,96.0,3.1,11.5,EAU CLAIRE COUNTY,,0.0
55037,"Florence County, Wisconsin",54.8,62786,170000,0.5,0.0,0.1,0.0,99.4,95.4,0.4,1.1,23.1,91.5,5.5,8.5,FLORENCE COUNTY,,0.0
55039,"Fond du Lac County, Wisconsin",41.9,73154,209800,4.7,0.4,1.4,0.1,93.4,86.6,1.7,1.1,22.6,93.0,3.1,8.7,FOND DU LAC COUNTY,,0.0
55041,"Forest County, Wisconsin",49.1,59727,170000,1.7,0.2,0.2,0.1,97.8,77.9,0.4,16.8,15.5,90.7,3.5,15.0,FOREST COUNTY,,0.0
55043,"Grant County, Wisconsin",36.9,64349,186300,1.6,0.1,0.5,0.2,97.5,93.3,1.7,0.6,24.6,92.9,2.8,13.4,GRANT COUNTY,,0.0
55045,"Green County, Wisconsin",43.1,80248,236900,3.4,0.1,0.5,0.0,95.9,92.4,0.7,0.5,27.0,93.9,3.6,7.0,GREEN COUNTY,GREEN COUNTY,1.0
55047,"Green Lake County, Wisconsin",45.5,66917,206300,3.8,0.8,0.6,0.3,94.6,91.0,0.6,1.2,22.5,91.5,3.2,13.3,GREEN LAKE COUNTY,,0.0
